Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Chiều ngang,Chiều dài,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Giấy tờ pháp lý
"3,9 tỷ","Đường Nguyễn Trãi, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",48 m²,4 m,12 m,3 phòng,3 phòng,1,Đã có sổ
"3,98 tỷ","Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20.1 m²,N/A,N/A,2 phòng,N/A,N/A,Đã có sổ
15 tỷ,"Phan van tri, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",41 m²,3.5 m,12 m,5 phòng,5 phòng,N/A,Đã có sổ
"9,45 tỷ","Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51 m²,3 m,17 m,4 phòng,4 phòng,5,Đã có sổ
"14,9 tỷ","Đường An Bình, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",91 m²,7.8 m,N/A,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,N/A,Đã có sổ
"6,5 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,23 m²,N/A,N/A,3 phòng,N/A,3,Đã có sổ
"2,3 tỷ","Đại Dương, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",N/A,N/A,N/A,N/A,1 phòng,1 phòng,N/A,Sổ hồng riêng
"7,6 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,3 m,14 m,5 phòng,5 phòng,5,Đã có sổ
"11,5 tỷ","172, Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",36 m²,3 m,12 m,4 phòng,3 phòng,4,Đã có sổ
"5,88 tỷ","Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",21 m²,3.1 m,9 m,3 phòng,3 phòng,5,Đã có sổ
"5,35 tỷ","Trần Phú, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",33.8 m²,3.3 m,10 m,9 phòng,4 phòng,4,Đã có sổ
"4,3 tỷ","Đường Nguyễn Biểu, Phường 4, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,70 m²,5 m,14 m,4 phòng,N/A,N/A,Đã có sổ
"11,8 tỷ","Đường Ký Hòa, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",52 m²,N/A,N/A,2 phòng,N/A,N/A,Đã có sổ
"3,6 tỷ","Đường Nguyễn Trãi, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,4 m,5 m,2 phòng,1 phòng,2,Đã có sổ
16 tỷ,"Đường Võ Văn Kiệt, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",51 m²,5.2 m,10.5 m,5 phòng,N/A,5,Đã có sổ
"3,59 tỷ","Đường Tản Đà, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,4 phòng,5 phòng,3,Đã có sổ
"17,5 tỷ","Phạm Đôn, Phường 10, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",75 m²,N/A,N/A,6 phòng,N/A,6,Đã có sổ
"4,9 tỷ","Trần Hưng Đạo, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",35 m²,2.8 m,13.5 m,4 phòng,3 phòng,N/A,Đã có sổ
"2,05 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",21 m²,3.2 m,6.3 m,2 phòng,1 phòng,2,Đã có sổ
29 tỷ,"Đường Trần Hưng Đạo, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",80 m²,4.5 m,18 m,6 phòng,Nhiều hơn 6 phòng,7,Đã có sổ
"1,7 tỷ","Đường Trần Hưng Đạo, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",11.2 m²,3.5 m,3.5 m,3 phòng,2 phòng,3,Đã có sổ
"4,33 tỷ","Đường Nguyễn Trãi, Phường 4, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,73 m²,5 m,14 m,4 phòng,N/A,N/A,Đã có sổ
"4,2 tỷ","Phạm Văn Chí, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",20 m²,3 m,8 m,2 phòng,N/A,N/A,Đã có sổ
"3,98 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,3.2 m,6 m,2 phòng,3 phòng,3,Đã có sổ
"4,98 tỷ","Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,44 m²,4 m,11 m,4 phòng,4 phòng,3,Đã có sổ
"3,5 tỷ","Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,2 phòng,2 phòng,2,Đã có sổ
"4,9 tỷ","Đường Huỳnh Mẫn Đạt, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50.5 m²,5 m,10.1 m,3 phòng,4 phòng,2,Đã có sổ
"3,18 tỷ","Đường Trần Hưng Đạo, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",18 m²,3 m,6 m,3 phòng,2 phòng,3,Đã có sổ
"20,5 tỷ","Đường Hùng Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",57 m²,3.75 m,15 m,5 phòng,5 phòng,5,Đã có sổ
"5,7 tỷ","Đường Bình Tiên, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",35 m²,3.5 m,9.5 m,2 phòng,1 phòng,2,Đã có sổ
"18,35 tỷ","Đường An Dương Vương, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",66 m²,N/A,N/A,2 phòng,1 phòng,N/A,Đã có sổ
11 tỷ,"Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43 m²,3.3 m,13 m,4 phòng,6 phòng,4,Đã có sổ
"3,26 tỷ","Đường Nguyễn Văn Đừng, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,3 phòng,3 phòng,3,Đã có sổ
"7,5 triệu/tháng","Đường Cách Mạng Tháng 8, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",N/A,N/A,N/A,N/A,2 phòng,1 phòng,N/A,Hợp đồng đặt cọc
"4,58 tỷ","Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20.1 m²,2.5 m,8 m,3 phòng,3 phòng,3,Đã có sổ
"11,7 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",64 m²,4 m,16 m,4 phòng,3 phòng,4,Đã có sổ
27 tỷ,"545 Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",80 m²,4 m,20 m,4 phòng,3 phòng,3,Đã có sổ
15 tỷ,"Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",40 m²,3.6 m,12 m,4 phòng,4 phòng,5,Đã có sổ
"5,98 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3.7 m,8 m,4 phòng,3 phòng,3,Đã có sổ
"16,5 tỷ","Đường Bùi Hữu Nghĩa, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",68 m²,4 m,17 m,5 phòng,6 phòng,5,Đã có sổ
30 tỷ,"Đường An Dương Vương, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",78 m²,4 m,20 m,6 phòng,N/A,N/A,Đã có sổ
"2,745 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",15 m²,N/A,N/A,2 phòng,2 phòng,N/A,Đã có sổ
12 tỷ,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51 m²,4 m,13.5 m,4 phòng,4 phòng,4,Đã có sổ
"4,88 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,2.8 m,7.5 m,5 phòng,N/A,N/A,Đã có sổ
"2,5 tỷ","Đường Bùi Hữu Nghĩa, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,N/A,N/A,3 phòng,4 phòng,N/A,Đã có sổ
"3,66 tỷ","Đường An Bình, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",67.5 m²,4.5 m,15 m,4 phòng,5 phòng,4,Đã có sổ
"15,9 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",94.6 m²,4.3 m,22 m,6 phòng,N/A,N/A,Đã có sổ
"4,45 tỷ","Đường Hà Tôn Quyền, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",59.2 m²,5.9 m,10 m,5 phòng,6 phòng,2,Đã có sổ
"3,75 tỷ","Đường An Điềm, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,4 phòng,5 phòng,2,Đã có sổ
"6,58 tỷ","Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",39 m²,3.6 m,15 m,3 phòng,4 phòng,3,Đã có sổ
"4,78 tỷ","Đường Cao Đạt, Phường 4, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,52 m²,4 m,13 m,5 phòng,4 phòng,3,Đã có sổ
15 tỷ,"Đường Võ Văn Kiệt, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",47 m²,15 m,N/A,5 phòng,N/A,5,Đã có sổ
"3,3 tỷ","Đường Trịnh Hoài Đức, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,3 phòng,3 phòng,3,Đã có sổ
"3,18 tỷ","Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",16 m²,2.7 m,6 m,3 phòng,N/A,3,Đã có sổ
"4,1 tỷ","Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",16 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
"4,76 tỷ","Đường Bạch Vân, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,4 phòng,3 phòng,2,Đã có sổ
"9,5 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",46 m²,3.65 m,12.8 m,3 phòng,3 phòng,3,Đã có sổ
"11,8 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",58 m²,4 m,14.5 m,4 phòng,4 phòng,3,Đã có sổ
"3,9 tỷ","Đường Dương Tử Giang, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",57.6 m²,5.7 m,11 m,5 phòng,6 phòng,3,Đã có sổ
"14,7 tỷ","Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",44 m²,4 m,11 m,6 phòng,4 phòng,5,Đã có sổ
"6,499 tỷ","Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",25 m²,3.5 m,7.5 m,3 phòng,3 phòng,4,Đã có sổ
26 tỷ,"Đường Nguyễn Duy Dương, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",64 m²,4 m,16 m,7 phòng,N/A,N/A,Đã có sổ
"3,2 tỷ","Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",21.25 m²,2.5 m,8.5 m,2 phòng,1 phòng,1,Đã có sổ
"9,8 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",32 m²,3.2 m,11 m,2 phòng,3 phòng,4,Đã có sổ
"8,1 tỷ","Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",47 m²,N/A,N/A,3 phòng,2 phòng,N/A,Đã có sổ
900000 đ/tháng,"Đường 36, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"4,9 tỷ","Đường Quốc lộ 13, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Nhà ngõ, hẻm",57 m²,4.3 m,13 m,2 phòng,2 phòng,2,Đã có sổ
"2,45 tỷ","Bạch Vân, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",15 m²,2.5 m,6 m,3 phòng,4 phòng,4,Đã có sổ
"3,98 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",40 m²,4 m,10 m,3 phòng,N/A,N/A,Đã có sổ
"3,5 tỷ","Đường Phan Văn Trị, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",16 m²,3.3 m,5 m,2 phòng,2 phòng,2,Đã có sổ
"28,5 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",78 m²,4 m,19.5 m,2 phòng,2 phòng,N/A,Đã có sổ
"10,5 tỷ","Đường Trần Bình Trọng, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",57 m²,4 m,13 m,4 phòng,5 phòng,3,Đã có sổ
8 triệu/tháng,"Đường Hoàng Hoa Thám, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",N/A,N/A,N/A,N/A,1 phòng,1 phòng,N/A,Hợp đồng đặt cọc
5 tỷ,"Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,2 phòng,2 phòng,N/A,Đã có sổ
230 tỷ,"Đường Lý Thường Kiệt, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",430 m²,N/A,N/A,nhiều hơn 10 phòng,N/A,N/A,Đã có sổ
"15,9 tỷ","Đường Nguyễn Tri Phương, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",43 m²,4.3 m,10 m,5 phòng,6 phòng,6,Đã có sổ
22 tỷ,"Đường Hồng Bàng, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",84 m²,4 m,21 m,5 phòng,4 phòng,3,Đã có sổ
76 tỷ,"Đường Nguyễn Văn Đừng, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",146 m²,7.9 m,18.5 m,9 phòng,N/A,9,Đã có sổ
"4,95 tỷ","Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",21 m²,N/A,N/A,3 phòng,3 phòng,N/A,Đã có sổ
34 tỷ,"Đường Trần Bình Trọng, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",86 m²,4 m,22 m,5 phòng,5 phòng,3,Đã có sổ
"9,8 tỷ","Đường Gia Phú, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",68 m²,4 m,17 m,6 phòng,N/A,N/A,Đã có sổ
"8,5 tỷ","Đường An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",37 m²,2.5 m,12 m,4 phòng,3 phòng,4,Đã có sổ
"7,85 tỷ","Đường An Dương Vương, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",58 m²,3.2 m,18 m,5 phòng,4 phòng,4,Đã có sổ
"2,9 tỷ","Đường Nguyễn Trãi, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,4 m,12.5 m,3 phòng,3 phòng,1,Đã có sổ
"4,25 tỷ","Đường Phạm Hữu Chí, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",53.75 m²,4.3 m,12.5 m,4 phòng,4 phòng,N/A,Đã có sổ
12 tỷ,"Đường Huỳnh Mẫn Đạt, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",18 m²,N/A,N/A,5 phòng,4 phòng,6,Đã có sổ
"6,2 tỷ","Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",20 m²,N/A,N/A,5 phòng,3 phòng,4,Đã có sổ
"5,68 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",24 m²,3 m,8 m,3 phòng,3 phòng,4,Đã có sổ
"30,5 tỷ","Đường Bùi Hữu Nghĩa, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",117 m²,N/A,N/A,5 phòng,N/A,N/A,Đã có sổ
"10,8 tỷ","Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51 m²,3.5 m,14 m,7 phòng,Nhiều hơn 6 phòng,5,Đã có sổ
"19,5 tỷ","Đường Trần Bình Trọng, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",66 m²,7.8 m,12 m,4 phòng,4 phòng,5,Đã có sổ
"3,6 tỷ","Đường Bến Mễ Cốc, Phường 15, Quận 8, Tp Hồ Chí Minh","Nhà ngõ, hẻm",44 m²,4 m,11 m,2 phòng,3 phòng,2,Đã có sổ
11 tỷ,"Nguyễn Trãi , Phường 7, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,60 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
"5,8 tỷ","197, Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3.2 m,8 m,4 phòng,4 phòng,4,Đã có sổ
15 triệu/tháng,"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,Hợp đồng mua bán
"2,85 tỷ","Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"10,8 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",45 m²,3.3 m,13 m,5 phòng,6 phòng,N/A,Đã có sổ
"15,5 tỷ","Đường Phù Đổng Thiên Vương, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",66 m²,N/A,N/A,3 phòng,N/A,2,Đã có sổ
19 tỷ,"Đường Tạ Quang Bửu, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",78 m²,4 m,19.5 m,6 phòng,5 phòng,5,Đã có sổ
"9,55 tỷ","Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",53 m²,4 m,13.2 m,4 phòng,4 phòng,4,Đã có sổ
"5,1 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",27 m²,3.1 m,9 m,2 phòng,N/A,N/A,Đã có sổ
"9,5 tỷ","trần hưng đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",56.32 m²,4.4 m,13 m,5 phòng,N/A,5,Đã có sổ
"10,8 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,43 m²,4 m,12 m,4 phòng,N/A,N/A,Đã có sổ
"29,5 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",72.2 m²,3.9 m,18.5 m,3 phòng,3 phòng,3,Đã có sổ
"4,7 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",21 m²,2.75 m,7.45 m,5 phòng,3 phòng,4,Đã có sổ
"15,9 tỷ","83, Đường Phạm Hữu Chí, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",38 m²,3.7 m,11 m,5 phòng,6 phòng,4,Đã có sổ
11 tỷ,"Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",60 m²,4 m,15 m,3 phòng,3 phòng,4,Đã có sổ
"4,7 tỷ","Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",22 m²,2.8 m,7.7 m,3 phòng,3 phòng,N/A,Đã có sổ
"15,5 tỷ","Đường Võ Văn Kiệt, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",50 m²,15 m,5.6 m,5 phòng,5 phòng,5,Đã có sổ
"41,5 tỷ","95, Đường Nguyễn Thi, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",85 m²,5 m,17 m,5 phòng,4 phòng,3,Đã có sổ
"5,3 tỷ","Đường Huỳnh Mẫn Đạt, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",55 m²,N/A,12 m,3 phòng,3 phòng,3,Đã có sổ
17 tỷ,"Đường Nguyễn Tri Phương, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",44 m²,4.3 m,11 m,7 phòng,6 phòng,5,Đã có sổ
17 tỷ,"Đường Trần Bình Trọng, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",76 m²,4.7 m,16 m,4 phòng,4 phòng,4,Đã có sổ
"1,34 tỷ","Đường Nguyễn Trãi, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",10 m²,N/A,N/A,2 phòng,3 phòng,N/A,Đã có sổ
"23,5 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",60 m²,4 m,15 m,nhiều hơn 10 phòng,N/A,6,Đã có sổ
"13,8 tỷ","Đường Nguyễn Trãi, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",71.4 m²,4.2 m,17 m,6 phòng,N/A,N/A,Đã có sổ
"16,4 tỷ","Đường Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",45 m²,4.5 m,10 m,8 phòng,6 phòng,5,Đã có sổ
"4,9 tỷ","Đường Trần Hưng Đạo, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",39 m²,3 m,13 m,3 phòng,N/A,N/A,Đã có sổ
"7,8 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",29 m²,N/A,N/A,4 phòng,3 phòng,3,Đã có sổ
"10,8 tỷ","Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51 m²,4 m,14 m,7 phòng,N/A,N/A,Đã có sổ
17 tỷ,"Đường Trần Bình Trọng, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",76 m²,4.7 m,16 m,4 phòng,5 phòng,4,Đã có sổ
"2,75 tỷ","Đường Trần Bình Trọng, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",25 m²,N/A,N/A,4 phòng,4 phòng,3,Đã có sổ
13 tỷ,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51 m²,4 m,14 m,5 phòng,5 phòng,N/A,Đã có sổ
"3,5 tỷ","Đường Phan Văn Trị, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",48 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"14,3 tỷ","Đường An Bình, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",91 m²,7.6 m,11 m,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,4,Đã có sổ
"3,5 tỷ","Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",22 m²,3.2 m,7 m,2 phòng,2 phòng,2,Đã có sổ
24 tỷ,"Đường Vũ Chí Hiếu, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",80 m²,N/A,N/A,3 phòng,3 phòng,N/A,Đã có sổ
"14,8 tỷ","Đường An Bình, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",83 m²,7.6 m,N/A,nhiều hơn 10 phòng,N/A,N/A,Đã có sổ
"6,3 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",32 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
"16,2 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",68 m²,4 m,17 m,6 phòng,6 phòng,5,Đã có sổ
21 tỷ,"Đường Ký Hòa, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",83 m²,4 m,21 m,8 phòng,N/A,N/A,Đã có sổ
"12,5 tỷ","Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"13,5 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",84 m²,4 m,21 m,4 phòng,5 phòng,4,Đã có sổ
"2,95 tỷ","Đường Ngô Nhân Tịnh, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",15 m²,3 m,5 m,2 phòng,2 phòng,3,Đang chờ sổ
"2,95 tỷ","Đường Nguyễn Trãi, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,4 phòng,3 phòng,4,Đã có sổ
"4,25 tỷ","Đường Đặng Thái Thân, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
"3,98 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",26.9 m²,4.5 m,6 m,2 phòng,2 phòng,3,Đã có sổ
